ID,Updated,Confirmed,Confirmed_Change,Deaths,Deaths_Change,Recovered,Recovered_Change,Latitude,Longitude,ISO2,ISO3,Country_Region,load_time
7159713,2020-01-26 00:00:00.0000000,1,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159715,2020-01-27 00:00:00.0000000,2,1,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159717,2020-01-28 00:00:00.0000000,3,1,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339668,2020-01-29 00:00:00.0000000,3,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339669,2020-01-30 00:00:00.0000000,3,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159719,2020-01-31 00:00:00.0000000,4,1,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339671,2020-02-01 00:00:00.0000000,4,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339672,2020-02-02 00:00:00.0000000,4,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339673,2020-02-03 00:00:00.0000000,4,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159721,2020-02-04 00:00:00.0000000,5,1,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159724,2020-02-05 00:00:00.0000000,5,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159726,2020-02-06 00:00:00.0000000,7,2,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
5469130,2020-02-07 00:00:00.0000000,7,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339678,2020-02-08 00:00:00.0000000,7,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339679,2020-02-09 00:00:00.0000000,7,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339680,2020-02-10 00:00:00.0000000,7,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339681,2020-02-11 00:00:00.0000000,7,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159728,2020-02-12 00:00:00.0000000,7,0,0,0,1,1,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159730,2020-02-13 00:00:00.0000000,7,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159733,2020-02-14 00:00:00.0000000,8,1,0,0,1,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339685,2020-02-15 00:00:00.0000000,8,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339686,2020-02-16 00:00:00.0000000,8,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339687,2020-02-17 00:00:00.0000000,8,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339688,2020-02-18 00:00:00.0000000,8,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159735,2020-02-19 00:00:00.0000000,8,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159737,2020-02-20 00:00:00.0000000,9,1,0,0,1,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339691,2020-02-21 00:00:00.0000000,9,0,0,0,2,1,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
339692,2020-02-22 00:00:00.0000000,9,0,0,0,0,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
7159739,2020-02-23 00:00:00.0000000,10,1,0,0,3,0,62.53604,62.53604,"CA","CAN","Canada",2021-04-01 00:06:15.0000000
